epc,rssi,timestamp,reader,antenna
18412345,-55,2026-04-18 22:22:26.503,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.530,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.552,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.580,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.601,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.629,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.658,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.686,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.703,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.733,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.761,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.784,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.810,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.832,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.866,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:26.883,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.914,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.935,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.959,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:26.981,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:27.012,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:27.031,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:27.064,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:27.085,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:27.114,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:27.135,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:27.162,192.168.1.10,1,CP
18412345,-58,2026-04-18 22:22:27.182,192.168.1.10,1,CP
18412345,-58,2026-04-18 22:22:27.212,192.168.1.10,1,CP
18412345,-58,2026-04-18 22:22:27.232,192.168.1.10,1,CP
18412345,-58,2026-04-18 22:22:27.267,192.168.1.10,1,CP
18412345,-58,2026-04-18 22:22:27.286,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:27.314,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:27.333,192.168.1.10,1,CP
18412345,-57,2026-04-18 22:22:27.362,192.168.1.10,1,CP
18412345,-58,2026-04-18 22:22:27.384,192.168.1.10,1,CP
18412345,-58,2026-04-18 22:22:27.410,192.168.1.10,1,CP
18412345,-59,2026-04-18 22:22:27.431,192.168.1.10,1,CP
18412345,-60,2026-04-18 22:22:27.465,192.168.1.10,1,CP
18412345,-60,2026-04-18 22:22:27.486,192.168.1.10,1,CP
18412345,-60,2026-04-18 22:22:27.517,192.168.1.10,1,CP
18412345,-60,2026-04-18 22:22:27.534,192.168.1.10,1,CP
18412345,-60,2026-04-18 22:22:27.562,192.168.1.10,1,CP
18412345,-59,2026-04-18 22:22:27.592,192.168.1.10,1,CP
18412345,-60,2026-04-18 22:22:27.613,192.168.1.10,1,CP
18412345,-65,2026-04-18 22:22:27.838,192.168.1.10,1,CP
18412345,-63,2026-04-18 22:22:27.867,192.168.1.10,1,CP
18412345,-66,2026-04-18 22:22:27.897,192.168.1.10,1,CP
18412345,-67,2026-04-18 22:22:27.916,192.168.1.10,1,CP
18412345,-67,2026-04-18 22:22:27.941,192.168.1.10,1,CP
18412345,-68,2026-04-18 22:22:28.054,192.168.1.10,1,CP
18412345,-67,2026-04-18 22:22:28.080,192.168.1.10,1,CP
18412345,-65,2026-04-18 22:22:28.176,192.168.1.10,1,CP
18412345,-60,2026-04-18 22:22:28.203,192.168.1.10,1,CP
18412345,-58,2026-04-18 22:22:28.225,192.168.1.10,1,CP
18412345,-56,2026-04-18 22:22:28.252,192.168.1.10,1,CP
18412345,-55,2026-04-18 22:22:28.278,192.168.1.10,1,CP
18412345,-54,2026-04-18 22:22:28.307,192.168.1.10,1,CP
18412345,-53,2026-04-18 22:22:28.328,192.168.1.10,1,CP
18412345,-51,2026-04-18 22:22:28.355,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:28.376,192.168.1.10,1,CP
18412345,-44,2026-04-18 22:22:28.403,192.168.1.10,1,CP
18412345,-41,2026-04-18 22:22:28.425,192.168.1.10,1,CP
18412345,-41,2026-04-18 22:22:28.455,192.168.1.10,1,CP
18412345,-41,2026-04-18 22:22:28.479,192.168.1.10,1,CP
18412345,-42,2026-04-18 22:22:28.508,192.168.1.10,1,CP
18412345,-42,2026-04-18 22:22:28.530,192.168.1.10,1,CP
18412345,-42,2026-04-18 22:22:28.555,192.168.1.10,1,CP
18412345,-43,2026-04-18 22:22:28.577,192.168.1.10,1,CP
18412345,-44,2026-04-18 22:22:28.602,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:28.624,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:28.650,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:28.670,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:28.698,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:28.721,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:28.747,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:28.769,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:28.794,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:28.814,192.168.1.10,1,CP
18412345,-46,2026-04-18 22:22:28.841,192.168.1.10,1,CP
18412345,-47,2026-04-18 22:22:28.881,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:28.903,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:28.932,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:28.951,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:28.977,192.168.1.10,1,CP
18412345,-48,2026-04-18 22:22:29.001,192.168.1.10,1,CP
